,pseudotime,branch
0,23,Right_End
1,17,Left_End
2,22,Left_End
3,0,Start
4,16,Right_End
5,12,Right_Mid
6,7,Right_Mid
7,8,Left_Mid
8,20,Left_End
9,17,Left_End
10,22,Left_End
11,8,Right_Mid
12,6,Left_Mid
13,24,Right_End
14,4,Start
15,12,Right_Mid
16,14,Right_Mid
17,19,Right_End
18,17,Left_End
19,16,Right_End
20,5,Left_Mid
21,19,Right_End
22,22,Right_End
23,10,Right_Mid
24,9,Right_Mid
25,4,Start
26,5,Left_Mid
27,21,Left_End
28,17,Right_End
29,24,Right_End
30,23,Left_End
31,18,Right_End
32,2,Start
33,11,Left_Mid
34,8,Left_Mid
35,20,Left_End
36,13,Right_Mid
37,22,Left_End
38,16,Left_End
39,6,Right_Mid
40,19,Left_End
41,8,Right_Mid
42,22,Left_End
43,1,Start
44,16,Left_End
45,11,Left_Mid
46,19,Left_End
47,23,Right_End
48,6,Left_Mid
49,21,Right_End
50,21,Right_End
51,20,Right_End
52,14,Left_Mid
53,21,Right_End
54,24,Right_End
55,24,Right_End
56,20,Right_End
57,4,Start
58,15,Right_End
59,2,Start
60,16,Left_End
61,24,Right_End
62,19,Left_End
63,8,Left_Mid
64,19,Right_End
65,10,Left_Mid
66,24,Right_End
67,10,Right_Mid
68,14,Left_Mid
69,9,Right_Mid
70,18,Left_End
71,13,Left_Mid
72,22,Right_End
73,5,Right_Mid
74,24,Left_End
75,17,Right_End
76,8,Left_Mid
77,9,Right_Mid
78,11,Left_Mid
79,12,Left_Mid
80,15,Right_End
81,18,Left_End
82,11,Left_Mid
83,17,Left_End
84,18,Right_End
85,9,Left_Mid
86,23,Left_End
87,13,Right_Mid
88,22,Left_End
89,1,Start
90,18,Right_End
91,22,Left_End
92,1,Start
93,14,Right_Mid
94,8,Right_Mid
95,10,Left_Mid
96,11,Left_Mid
97,20,Right_End
98,14,Left_Mid
99,20,Left_End
100,3,Start
101,22,Left_End
102,22,Right_End
103,21,Left_End
104,22,Right_End
105,14,Left_Mid
106,16,Right_End
107,8,Right_Mid
108,17,Right_End
109,18,Left_End
110,16,Left_End
111,7,Left_Mid
112,6,Left_Mid
113,21,Right_End
114,1,Start
115,9,Right_Mid
116,0,Start
117,17,Left_End
118,3,Start
119,21,Right_End
120,20,Left_End
121,21,Right_End
122,24,Right_End
123,24,Left_End
124,18,Left_End
125,13,Right_Mid
126,7,Left_Mid
127,23,Right_End
128,24,Right_End
129,18,Left_End
130,19,Right_End
131,13,Left_Mid
132,0,Start
133,20,Left_End
134,23,Left_End
135,18,Right_End
136,12,Right_Mid
137,8,Left_Mid
138,11,Right_Mid
139,23,Right_End
140,10,Right_Mid
141,20,Left_End
142,6,Left_Mid
143,18,Left_End
144,23,Left_End
145,7,Right_Mid
146,9,Right_Mid
147,21,Left_End
148,13,Right_Mid
149,13,Right_Mid
150,10,Left_Mid
151,9,Left_Mid
152,18,Left_End
153,14,Right_Mid
154,14,Left_Mid
155,24,Left_End
156,3,Start
157,24,Right_End
158,20,Left_End
159,24,Left_End
160,21,Right_End
161,7,Right_Mid
162,14,Left_Mid
163,16,Left_End
164,14,Left_Mid
165,18,Left_End
166,11,Right_Mid
167,22,Right_End
168,5,Left_Mid
169,13,Left_Mid
170,14,Left_Mid
171,6,Right_Mid
172,13,Right_Mid
173,16,Left_End
174,11,Left_Mid
175,22,Left_End
176,17,Right_End
177,11,Right_Mid
178,13,Right_Mid
179,12,Left_Mid
180,13,Right_Mid
181,18,Left_End
182,7,Left_Mid
183,10,Right_Mid
184,23,Left_End
185,15,Right_End
186,21,Right_End
187,4,Start
188,1,Start
189,19,Right_End
190,8,Right_Mid
191,8,Right_Mid
192,20,Left_End
193,5,Right_Mid
194,8,Left_Mid
195,9,Right_Mid
196,0,Start
197,10,Right_Mid
198,5,Left_Mid
199,22,Left_End
200,23,Left_End
201,6,Right_Mid
202,9,Right_Mid
203,21,Left_End
204,16,Left_End
205,19,Left_End
206,9,Right_Mid
207,16,Left_End
208,2,Start
209,1,Start
210,3,Start
211,15,Left_End
212,21,Right_End
213,10,Right_Mid
214,13,Right_Mid
215,14,Left_Mid
216,11,Right_Mid
217,9,Left_Mid
218,9,Left_Mid
219,13,Left_Mid
220,13,Right_Mid
221,4,Start
222,8,Left_Mid
223,14,Right_Mid
224,2,Start
225,11,Right_Mid
226,14,Right_Mid
227,20,Right_End
228,19,Right_End
229,10,Left_Mid
