date,close,真实5日均线,真实信号,分段线性插值_插值_A,分段线性插值_5日均线_A,分段线性插值_信号_A,三次样条插值_插值_A,三次样条插值_5日均线_A,三次样条插值_信号_A,径向基函数插值_插值_A,径向基函数插值_5日均线_A,径向基函数插值_信号_A,前向填充(基准)_插值_A,前向填充(基准)_5日均线_A,前向填充(基准)_信号_A,分段线性插值_插值_B,分段线性插值_5日均线_B,分段线性插值_信号_B,三次样条插值_插值_B,三次样条插值_5日均线_B,三次样条插值_信号_B,径向基函数插值_插值_B,径向基函数插值_5日均线_B,径向基函数插值_信号_B,前向填充(基准)_插值_B,前向填充(基准)_5日均线_B,前向填充(基准)_信号_B
2024-01-01,1707.4507122951684,1707.4507122951684,0.0,1707.4507122951684,1707.4507122951684,0.0,1707.4507122951684,1707.4507122951684,0.0,1707.4507122951684,1707.4507122951684,0.0,1707,1707.0,0.0,1707.4507122951684,1707.4507122951684,0.0,1707.4507122951684,1707.4507122951684,0.0,1707.45071229517,1707.45071229517,0.0,1707,1707.0,0.0
2024-01-02,1702.5318898977257,1704.991301096447,-1.0,1709.6236873476957,1708.537199821432,1.0,1709.32910355757,1708.3899079263692,1.0,1708.1666376071241,1707.8086749511463,1.0,1707,1707.0,0.0,1702.5318898977257,1704.991301096447,-1.0,1702.5318898977257,1704.991301096447,-1.0,1702.5318898977284,1704.9913010964492,-1.0,1702,1704.5,-1.0
2024-01-03,1718.8659293031044,1709.6161771653326,1.0,1711.796662400223,1709.6236873476957,0.0,1711.281140767503,1709.3536522067473,0.0,1710.6779769919212,1708.765108964738,0.0,1707,1707.0,0.0,1718.8659293031044,1709.6161771653326,1.0,1718.8659293031044,1709.6161771653326,1.0,1718.8659293031046,1709.6161771653344,1.0,1718,1709.0,1.0
2024-01-04,1736.4195639401726,1716.3170238590428,0.0,1713.9696374527507,1710.7101748739594,0.0,1713.380469872499,1710.360356623185,0.0,1713.2214003479717,1709.8791818105465,0.0,1707,1707.0,0.0,1736.4195639401726,1716.3170238590428,0.0,1736.4195639401726,1716.3170238590428,0.0,1736.4195639401737,1716.3170238590442,0.0,1736,1715.75,0.0
2024-01-05,1714.3059246944874,1715.9148040261316,-1.0,1716.142612505278,1711.796662400223,0.0,1715.7007368200893,1711.4284326625661,0.0,1715.7726616593684,1711.0578777803107,0.0,1707,1707.0,0.0,1714.3059246944874,1715.9148040261316,-1.0,1714.3059246944874,1715.9148040261316,-1.0,1714.305924694489,1715.914804026133,-1.0,1714,1715.4,-1.0
2024-01-08,1718.3155875578054,1718.0877790786592,1.0,1718.3155875578054,1713.9696374527507,0.0,1718.3155875578054,1713.6014077150933,0.0,1718.3155875578054,1713.2308528328383,0.0,1718,1709.2,1.0,1718.3155875578054,1718.0877790786592,1.0,1718.3155875578054,1718.0877790786592,1.0,1718.3155875578077,1718.0877790786606,1.0,1718,1717.6,1.0
2024-01-09,1749.239047425559,1727.4292105842258,0.0,1720.607792032633,1716.1664583897382,0.0,1721.2297912625393,1715.9815452560874,0.0,1720.6345850603384,1715.724442323481,0.0,1718,1711.4,0.0,1749.239047425559,1727.4292105842258,0.0,1749.239047425559,1727.4292105842258,0.0,1749.2390474255608,1727.4292105842273,0.0,1749,1727.0,0.0
2024-01-10,1740.452480522612,1731.7465208281271,0.0,1722.8999965074606,1718.3871252111853,0.0,1724.1726100286255,1718.5598391083117,0.0,1722.94283335369,1718.1774135958349,0.0,1718,1713.6,0.0,1740.452480522612,1731.7465208281271,0.0,1740.452480522612,1731.7465208281271,0.0,1740.4524805226156,1731.7465208281294,0.0,1740,1731.4,0.0
2024-01-11,1724.9142935741074,1729.4454667549144,-1.0,1725.192200982288,1720.631637917093,0.0,1726.804429179758,1721.2446309697636,0.0,1725.2510744266415,1720.583348411569,0.0,1718,1715.8,0.0,1724.9142935741074,1729.4454667549144,-1.0,1724.9142935741074,1729.4454667549144,-1.0,1724.9142935741093,1729.4454667549167,-1.0,1724,1729.0,-1.0
2024-01-12,1742.7000877871521,1735.1242993734472,1.0,1727.4844054571158,1722.8999965074606,0.0,1728.7856340396324,1723.861610413672,0.0,1727.5580941839514,1722.9404349164852,0.0,1718,1718.0,0.0,1742.7000877871521,1735.1242993734472,1.0,1742.7000877871521,1735.1242993734472,1.0,1742.7000877871533,1735.1242993734493,1.0,1742,1734.6,1.0
